Player,Year,Team,Role,MVP,Team
Bradley Beal,2021,Durant,Starter,N,WAS
Joel Embiid,2021,Durant,Starter,N,PHI
Kyrie Irving,2021,Durant,Starter,N,BRK
Kawhi Leonard,2021,Durant,Starter,N,LAC
Jayson Tatum,2021,Durant,Starter,N,BOS
Mike Conley Jr,2021,Durant,Reserve,N,UTA
James Harden,2021,Durant,Reserve,N,BRK
Zach LaVine,2021,Durant,Reserve,N,CHI
Donovan Mitchell,2021,Durant,Reserve,N,UTA
Julius Randle,2021,Durant,Reserve,N,NYK
Nikola Vucevic,2021,Durant,Reserve,N,ORL
Zion Williamson,2021,Durant,Reserve,N,NOP
Devin Booker,2021,Durant,DNP,N,PHO
Kevin Durant,2021,Durant,DNP,N,BRK
Giannis Antetokounmpo,2021,LeBron,Starter,Y,MIL
Stephen Curry,2021,LeBron,Starter,N,GSW
Luka Doncic,2021,LeBron,Starter,N,DAL
LeBron James,2021,LeBron,Starter,N,LAL
Nikola Jokic,2021,LeBron,Starter,N,DEN
Jaylen Brown,2021,LeBron,Reserve,N,BOS
Paul George,2021,LeBron,Reserve,N,LAC
Rudy Gobert,2021,LeBron,Reserve,N,UTA
Damian Lillard,2021,LeBron,Reserve,N,POR
Chris Paul,2021,LeBron,Reserve,N,PHO
Domantas Sabonis,2021,LeBron,Reserve,N,IND
Ben Simmons,2021,LeBron,Reserve,N,PHI
Anthony Davis,2021,LeBron,DNP,N,LAL
Giannis Antetokounmpo,2020,Team Giannis,Starter,N,MIL
Joel Embiid,2020,Team Giannis,Starter,N,PHI
Pascal Siakam,2020,Team Giannis,Starter,N,TOR
Kemba Walker,2020,Team Giannis,Starter,N,BOS
Trae Young,2020,Team Giannis,Starter,N,ATL
Bam Adebayo,2020,Team Giannis,Reserve,N,MIA
Jimmy Butler,2020,Team Giannis,Reserve,N,MIA
Rudy Gobert,2020,Team Giannis,Reserve,N,UTA
Brandon Ingram,2020,Team Giannis,Reserve,N,NOP
Kyle Lowry,2020,Team Giannis,Reserve,N,TOR
Khris Middleton,2020,Team Giannis,Reserve,N,MIL
Donovan Mitchell,2020,Team Giannis,Reserve,N,UTA
Anthony Davis,2020,Team Lebron,Starter,N,LAL
Luka Doncic,2020,Team Lebron,Starter,N,DAL
James Harden,2020,Team Lebron,Starter,N,HOU
LeBron James,2020,Team Lebron,Starter,N,LAL
Kawhi Leonard,2020,Team Lebron,Starter,Y,LAC
Devin Booker,2020,Team Lebron,Reserve,N,PHO
Nikola Jokic,2020,Team Lebron,Reserve,N,DEN
Chris Paul,2020,Team Lebron,Reserve,N,OKC
Domantas Sabonis,2020,Team Lebron,Reserve,N,IND
Ben Simmons,2020,Team Lebron,Reserve,N,PHI
Jayson Tatum,2020,Team Lebron,Reserve,N,BOS
Russell Westbrook,2020,Team Lebron,Reserve,N,HOU
Damian Lillard,2020,Team Lebron,DNP,N,POR
Giannis Antetokounmpo,2019,Team Giannis,Starter,N,MIL
Stephen Curry,2019,Team Giannis,Starter,N,GSW
Joel Embiid,2019,Team Giannis,Starter,N,PHI
Paul George,2019,Team Giannis,Starter,N,OKC
Kemba Walker,2019,Team Giannis,Starter,N,CHA
Blake Griffin,2019,Team Giannis,Reserve,N,DET
Nikola Jokic,2019,Team Giannis,Reserve,N,DEN
Kyle Lowry,2019,Team Giannis,Reserve,N,TOR
Khris Middleton,2019,Team Giannis,Reserve,N,MIL
Dirk Nowitzki,2019,Team Giannis,Reserve,N,DAL
D'Angelo Russell,2019,Team Giannis,Reserve,N,BRK
Nikola Vucevic,2019,Team Giannis,Reserve,N,ORL
Russell Westbrook,2019,Team Giannis,Reserve,N,OKC
Victor Oladipo,2019,Team Giannis,DNP,N,IND
Kevin Durant,2019,Team Lebron,Starter,Y,GSW
James Harden,2019,Team Lebron,Starter,N,HOU
Kyrie Irving,2019,Team Lebron,Starter,N,BOS
LeBron James,2019,Team Lebron,Starter,N,LAL
Kawhi Leonard,2019,Team Lebron,Starter,N,TOR
LaMarcus Aldridge,2019,Team Lebron,Reserve,N,SAS
Bradley Beal,2019,Team Lebron,Reserve,N,WAS
Anthony Davis,2019,Team Lebron,Reserve,N,NOP
Damian Lillard,2019,Team Lebron,Reserve,N,POR
Ben Simmons,2019,Team Lebron,Reserve,N,PHI
Klay Thompson,2019,Team Lebron,Reserve,N,GSW
Karl-Anthony Towns,2019,Team Lebron,Reserve,N,MIN
Dwyane Wade,2019,Team Lebron,Reserve,N,MIA
Anthony Davis,2018,Team Lebron,Starter,N,NOP
Kevin Durant,2018,Team Lebron,Starter,N,GSW
Kyrie Irving,2018,Team Lebron,Starter,N,BOS
LeBron James,2018,Team Lebron,Starter,Y,CLE
Russell Westbrook,2018,Team Lebron,Starter,N,OKC
LaMarcus Aldridge,2018,Team Lebron,Reserve,N,SAS
Bradley Beal,2018,Team Lebron,Reserve,N,WAS
Goran Dragic,2018,Team Lebron,Reserve,N,MIA
Andre Drummond,2018,Team Lebron,Reserve,N,DET
Paul George,2018,Team Lebron,Reserve,N,OKC
Victor Oladipo,2018,Team Lebron,Reserve,N,IND
Kemba Walker,2018,Team Lebron,Reserve,N,CHO
DeMarcus Cousins,2018,Team Lebron,DNP,N,NOP
Kevin Love,2018,Team Lebron,DNP,N,CLE
Kristaps Porzingis,2018,Team Lebron,DNP,N,NYK
John Wall,2018,Team Lebron,DNP,N,WAS
Giannis Antetokounmpo,2018,Team Stephen,Starter,N,MIL
Stephen Curry,2018,Team Stephen,Starter,N,GSW
DeMar DeRozan,2018,Team Stephen,Starter,N,TOR
Joel Embiid,2018,Team Stephen,Starter,N,PHI
James Harden,2018,Team Stephen,Starter,N,HOU
Draymond Green,2018,Team Stephen,Reserve,N,GSW
Al Horford,2018,Team Stephen,Reserve,N,BOS
Damian Lillard,2018,Team Stephen,Reserve,N,POR
Kyle Lowry,2018,Team Stephen,Reserve,N,TOR
Klay Thompson,2018,Team Stephen,Reserve,N,GSW
Karl-Anthony Towns,2018,Team Stephen,Reserve,N,MIN
Jimmy Butler,2018,Team Stephen,DNP,N,MIN
Giannis Antetokounmpo,2017,East,Starter,N,MIL
Jimmy Butler,2017,East,Starter,N,CHI
DeMar DeRozan,2017,East,Starter,N,TOR
Kyrie Irving,2017,East,Starter,N,CLE
LeBron James,2017,East,Starter,N,CLE
Carmelo Anthony,2017,East,Reserve,N,NYK
Paul George,2017,East,Reserve,N,IND
Kyle Lowry,2017,East,Reserve,N,TOR
Paul Millsap,2017,East,Reserve,N,ATL
Isaiah Thomas,2017,East,Reserve,N,BOS
Kemba Walker,2017,East,Reserve,N,CHO
John Wall,2017,East,Reserve,N,WAS
Kevin Love,2017,East,DNP,N,CLE
Stephen Curry,2017,West,Starter,N,GSW
Anthony Davis,2017,West,Starter,Y,NOP
Kevin Durant,2017,West,Starter,N,GSW
James Harden,2017,West,Starter,N,HOU
Kawhi Leonard,2017,West,Starter,N,SAS
DeMarcus Cousins,2017,West,Reserve,N,SAC
Marc Gasol,2017,West,Reserve,N,MEM
Draymond Green,2017,West,Reserve,N,GSW
Gordon Hayward,2017,West,Reserve,N,UTA
DeAndre Jordan,2017,West,Reserve,N,LAC
Klay Thompson,2017,West,Reserve,N,GSW
Russell Westbrook,2017,West,Reserve,N,OKC
Carmelo Anthony,2016,East,Starter,N,NYK
Paul George,2016,East,Starter,N,IND
LeBron James,2016,East,Starter,N,CLE
Kyle Lowry,2016,East,Starter,N,TOR
Dwyane Wade,2016,East,Starter,N,MIA
DeMar DeRozan,2016,East,Reserve,N,TOR
Andre Drummond,2016,East,Reserve,N,DET
Pau Gasol,2016,East,Reserve,N,CHI
Al Horford,2016,East,Reserve,N,ATL
Paul Millsap,2016,East,Reserve,N,ATL
Isaiah Thomas,2016,East,Reserve,N,BOS
John Wall,2016,East,Reserve,N,WAS
Chris Bosh,2016,East,DNP,N,MIA
Jimmy Butler,2016,East,DNP,N,CHI
Kobe Bryant,2016,West,Starter,N,LAL
Stephen Curry,2016,West,Starter,N,GSW
Kevin Durant,2016,West,Starter,N,OKC
Kawhi Leonard,2016,West,Starter,N,SAS
Russell Westbrook,2016,West,Starter,Y,OKC
LaMarcus Aldridge,2016,West,Reserve,N,SAS
DeMarcus Cousins,2016,West,Reserve,N,SAC
Anthony Davis,2016,West,Reserve,N,NOP
Draymond Green,2016,West,Reserve,N,GSW
James Harden,2016,West,Reserve,N,HOU
Chris Paul,2016,West,Reserve,N,LAC
Klay Thompson,2016,West,Reserve,N,GSW
Carmelo Anthony,2015,East,Starter,N,NYK
Pau Gasol,2015,East,Starter,N,CHI
LeBron James,2015,East,Starter,N,CLE
Kyle Lowry,2015,East,Starter,N,TOR
John Wall,2015,East,Starter,N,WAS
Chris Bosh,2015,East,Reserve,N,MIA
Jimmy Butler,2015,East,Reserve,N,CHI
Al Horford,2015,East,Reserve,N,ATL
Kyrie Irving,2015,East,Reserve,N,CLE
Kyle Korver,2015,East,Reserve,N,ATL
Paul Millsap,2015,East,Reserve,N,ATL
Jeff Teague,2015,East,Reserve,N,ATL
