seas_id,player,tm,position
30924,Nikola Jokić,DEN,Center
30742,Joel Embiid,PHI,Center
30847,Luka Dončić,DAL,Guard
30653,Giannis Antetokounmpo,MIL,Forward
30728,Jayson Tatum,BOS,Forward
31000,Shai Gilgeous-Alexander,OKC,Guard
30680,Ja Morant,MEM,Guard
30561,Damian Lillard,POR,Guard
30609,Domantas Sabonis,SAC,Center
30781,Julius Randle,NYK,Forward
30843,LeBron James,LAL,Forward
31042,Trae Young,ATL,Guard
30708,James Harden,PHI,Guard
30940,Pascal Siakam,TOR,Center
30482,Anthony Davis,LAL,Center
30583,De'Aaron Fox,SAC,Guard
30611,Donovan Mitchell,CLE,Guard
30812,Kevin Durant,PHO,Forward
30489,Bam Adebayo,MIA,Center
30829,Kristaps Porziņģis,WAS,Center
30694,Jalen Brunson,NYK,Guard
30725,Jaylen Brown,BOS,Forward
30737,Jimmy Butler,MIA,Forward
31008,Stephen Curry,GSW,Guard
30841,Lauri Markkanen,UTA,Forward
30483,Anthony Edwards,MIN,Guard
30774,Jrue Holiday,MIL,Guard
30833,Kyrie Irving,DAL,Guard
30926,Nikola Vučević,CHI,Center
30591,DeMar DeRozan,CHI,Forward
31056,Tyrese Haliburton,IND,Guard
30574,Darius Garland,CLE,Guard
30508,Brook Lopez,MIL,Center
30705,Jamal Murray,DEN,Guard
30719,Jarrett Allen,CLE,Center
30589,Dejounte Murray,ATL,Guard
30834,Kyrie Irving,DAL,Guard
30462,Aaron Gordon,DEN,Forward
30918,Nic Claxton,BRK,Center
31081,Zach LaVine,CHI,Guard
30715,Jaren Jackson Jr.,MEM,Center
30587,Deandre Ayton,PHO,Center
30948,Paul George,LAC,Guard
30911,Myles Turner,IND,Center
30601,Devin Booker,PHO,Guard
30542,CJ McCollum,NOP,Guard
30872,Mason Plumlee,LAC,Center
30873,Mason Plumlee,LAC,Center
30791,Kawhi Leonard,LAC,Forward
30639,Fred VanVleet,TOR,Guard
30632,Evan Mobley,CLE,Forward
31003,Spencer Dinwiddie,BRK,Guard
30540,Christian Wood,DAL,Center
30975,Rudy Gobert,MIN,Center
30891,Mikal Bridges,BRK,Forward
30600,Desmond Bane,MEM,Guard
30979,Russell Westbrook,LAC,Guard
30503,Bradley Beal,WAS,Guard
30536,Chris Paul,PHO,Guard
30496,Bobby Portis,MIL,Forward
31010,Steven Adams,MEM,Center
