seas_id,player,tm,season,age,experience,g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs,w,l,forward,guard,center,All-NBA Probability
30924,Nikola Jokić,DEN,2023,27,8,55,55,1846,516,815,45,113,471,702,277,337,128,515,643,551,70,36,196,142,1354,0,44,19,0,0,1,97.79
30742,Joel Embiid,PHI,2023,28,7,48,48,1683,525,987,50,148,475,839,484,563,86,414,500,196,53,78,170,153,1584,0,39,21,0,0,1,94.42
30609,Domantas Sabonis,SAC,2023,26,7,59,59,2035,417,679,24,69,393,610,250,326,175,555,730,410,50,27,176,217,1108,0,36,25,0,0,1,32.09
30940,Pascal Siakam,TOR,2023,28,7,53,53,1985,479,1004,76,220,403,784,303,394,98,311,409,318,44,29,132,174,1337,0,31,32,0,0,1,13.19
30482,Anthony Davis,LAL,2023,29,11,38,36,1266,368,656,13,55,355,601,231,285,127,350,477,93,42,80,81,103,980,0,29,33,0,0,1,10.13
30489,Bam Adebayo,MIA,2023,25,6,57,57,1997,479,893,1,12,478,881,252,315,149,410,559,184,69,45,145,161,1211,0,33,29,0,0,1,6.16
30829,Kristaps Porziņģis,WAS,2023,27,7,51,51,1663,377,774,105,279,272,495,303,358,96,341,437,130,44,78,112,156,1162,0,29,32,0,0,1,5.31
30926,Nikola Vučević,CHI,2023,32,12,62,62,2097,453,877,102,287,351,590,98,119,127,577,704,205,41,50,108,138,1106,0,28,34,0,0,1,2.77
30508,Brook Lopez,MIL,2023,34,15,60,60,1820,337,663,108,292,229,371,98,128,120,281,401,72,27,145,81,151,880,0,44,17,0,0,1,2.16
30719,Jarrett Allen,CLE,2023,24,6,57,57,1890,352,538,1,9,351,529,140,191,183,382,565,94,44,68,84,127,845,0,39,25,0,0,1,1.23
30918,Nic Claxton,BRK,2023,23,4,57,57,1675,310,434,0,2,310,432,96,188,140,372,512,97,49,146,72,158,716,0,34,27,0,0,1,0.99
30715,Jaren Jackson Jr.,MEM,2023,23,5,43,43,1174,256,519,65,188,191,331,141,179,74,212,286,36,47,140,67,147,718,0,37,23,0,0,1,0.88
