seas_id,player,tm,season,age,experience,g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs,w,l,forward,guard,center,All-NBA Probability
30653,Giannis Antetokounmpo,MIL,2023,28,10,49,49,1589,549,1019,39,143,510,876,396,616,112,479,591,262,37,37,192,163,1533,0,44,17,1,0,0,90.62
30728,Jayson Tatum,BOS,2023,24,6,58,58,2166,569,1238,190,541,379,697,420,486,65,440,505,272,60,45,172,123,1748,0,44,18,1,0,0,87.06
30781,Julius Randle,NYK,2023,28,9,63,63,2256,537,1159,176,510,361,649,332,438,132,530,662,259,42,18,174,188,1582,0,36,27,1,0,0,22.75
30843,LeBron James,LAL,2023,38,20,47,47,1695,532,1061,100,325,432,736,224,295,57,339,396,326,44,26,147,79,1388,0,29,33,1,0,0,21.72
30812,Kevin Durant,PHO,2023,34,15,39,39,1403,410,734,71,189,339,545,267,286,14,248,262,207,32,57,136,92,1158,0,34,27,1,0,0,6.86
30725,Jaylen Brown,BOS,2023,26,7,50,50,1787,494,1016,126,375,368,641,213,274,63,288,351,161,57,22,153,136,1327,0,44,18,1,0,0,4.7
30737,Jimmy Butler,MIA,2023,33,12,47,47,1569,340,657,25,78,315,579,324,384,103,176,279,239,93,16,82,60,1029,0,33,29,1,0,0,4.3
30841,Lauri Markkanen,UTA,2023,25,6,57,57,1959,487,952,174,425,313,527,292,332,106,382,488,103,35,34,107,117,1440,0,31,32,1,0,0,3.98
30591,DeMar DeRozan,CHI,2023,33,14,56,56,2023,508,998,27,88,481,910,360,410,23,230,253,282,55,30,124,152,1403,0,28,34,1,0,0,2.47
30462,Aaron Gordon,DEN,2023,27,9,51,51,1533,331,566,50,131,281,435,153,246,120,229,349,151,40,39,81,98,865,0,44,19,1,0,0,1.08
30791,Kawhi Leonard,LAC,2023,31,11,37,35,1225,309,611,69,169,240,442,165,189,43,183,226,148,51,21,58,58,852,0,33,31,1,0,0,0.4
30632,Evan Mobley,CLE,2023,21,2,62,62,2117,406,735,18,82,388,653,160,230,145,403,548,165,49,83,127,177,990,0,39,25,1,0,0,0.33
