seas_id,player,tm,season,age,experience,g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs,w,l,forward,guard,center,All-NBA Probability
30847,Luka Dončić,DAL,2023,23,5,53,53,1930,594,1175,145,415,449,760,426,583,46,419,465,428,79,27,192,140,1759,0,32,31,0,1,0,92.6
31000,Shai Gilgeous-Alexander,OKC,2023,24,5,54,54,1918,553,1091,47,139,506,952,521,574,48,208,256,307,89,58,155,145,1674,0,28,33,0,1,0,47.56
30680,Ja Morant,MEM,2023,23,4,51,51,1662,493,1062,82,264,411,798,321,432,57,249,306,417,55,13,177,86,1389,0,37,23,0,1,0,41.2
30561,Damian Lillard,POR,2023,32,11,48,48,1739,466,990,206,542,260,448,403,438,33,174,207,347,41,14,151,93,1541,0,29,32,0,1,0,33.03
31042,Trae Young,ATL,2023,24,5,55,55,1942,469,1093,119,364,350,729,432,486,40,121,161,557,57,9,225,85,1489,0,31,31,0,1,0,21.46
30708,James Harden,PHI,2023,33,14,44,44,1614,288,640,126,321,162,319,248,287,24,248,272,471,55,26,151,88,950,0,39,21,0,1,0,19.9
30583,De'Aaron Fox,SAC,2023,25,6,55,55,1877,519,1007,87,263,432,744,272,346,26,208,234,345,63,18,147,135,1397,0,36,25,0,1,0,9.82
30611,Donovan Mitchell,CLE,2023,26,6,53,53,1875,503,1050,194,499,309,551,241,275,49,164,213,253,82,21,143,127,1441,0,39,25,0,1,0,6.88
30694,Jalen Brunson,NYK,2023,26,5,59,59,2075,495,1034,109,272,386,762,292,350,37,176,213,364,53,15,119,134,1391,0,36,27,0,1,0,5.19
31008,Stephen Curry,GSW,2023,34,14,38,38,1313,372,751,185,433,187,318,190,206,22,219,241,244,37,15,122,82,1119,0,32,30,0,1,0,4.24
30483,Anthony Edwards,MIN,2023,21,3,64,64,2327,570,1245,169,465,401,780,268,345,38,339,377,289,107,44,218,158,1577,0,32,32,0,1,0,3.93
30774,Jrue Holiday,MIL,2023,32,14,50,48,1647,374,795,121,317,253,478,116,135,60,198,258,356,62,18,149,94,985,0,44,17,0,1,0,3.84
30833,Kyrie Irving,DAL,2023,30,12,47,47,1736,461,947,150,401,311,546,185,207,49,191,240,259,48,37,105,132,1257,0,32,31,0,1,0,2.81
31056,Tyrese Haliburton,IND,2023,22,3,51,51,1713,366,759,145,364,221,395,147,171,32,158,190,517,87,23,129,60,1024,0,28,35,0,1,0,2.39
30574,Darius Garland,CLE,2023,23,4,54,54,1896,407,870,138,328,269,542,230,265,23,120,143,424,68,7,156,114,1182,0,39,25,0,1,0,2.25
30705,Jamal Murray,DEN,2023,25,6,49,49,1595,360,790,121,312,239,478,146,176,39,160,199,292,49,9,104,67,987,0,44,19,0,1,0,1.76
30589,Dejounte Murray,ATL,2023,26,6,57,57,2075,479,1029,117,322,362,707,113,135,41,270,311,345,85,18,127,81,1188,0,31,31,0,1,0,1.22
30834,Kyrie Irving,DAL,2023,30,12,40,40,1478,398,819,130,348,268,471,158,179,38,166,204,211,41,33,91,109,1084,0,32,31,0,1,0,1.19
31081,Zach LaVine,CHI,2023,27,9,58,58,2081,486,1029,157,422,329,607,266,316,30,248,278,233,55,13,151,129,1395,0,28,34,0,1,0,0.92
30948,Paul George,LAC,2023,32,13,47,47,1618,381,825,138,360,243,465,205,236,32,256,288,243,69,17,155,126,1105,0,33,31,0,1,0,0.84
30601,Devin Booker,PHO,2023,26,8,35,35,1192,333,704,75,216,258,488,185,220,27,133,160,199,29,12,89,98,926,0,33,29,0,1,0,0.49
30542,CJ McCollum,NOP,2023,31,10,55,55,1926,433,997,153,406,280,591,134,170,43,191,234,322,52,31,143,108,1153,0,30,32,0,1,0,0.46
30639,Fred VanVleet,TOR,2023,28,7,51,51,1882,323,828,151,445,172,383,191,214,26,196,222,341,80,31,95,145,988,0,31,32,0,1,0,0.38
31003,Spencer Dinwiddie,BRK,2023,29,9,60,60,2046,353,785,153,386,200,399,200,242,20,172,192,321,46,16,106,141,1059,0,34,27,0,1,0,0.32
30600,Desmond Bane,MEM,2023,24,3,38,38,1180,284,611,111,269,173,342,124,138,27,162,189,155,40,15,81,91,803,0,37,23,0,1,0,0.27
30979,Russell Westbrook,LAC,2023,34,15,55,6,1584,322,763,67,222,255,541,164,246,62,276,338,419,60,23,197,132,875,0,33,31,0,1,0,0.26
30503,Bradley Beal,WAS,2023,29,11,39,39,1290,346,669,66,179,280,490,143,170,31,108,139,209,34,25,109,74,901,0,29,32,0,1,0,0.25
30536,Chris Paul,PHO,2023,37,18,41,41,1318,198,462,64,170,134,292,107,131,15,157,172,366,63,18,85,90,567,0,33,29,0,1,0,0.23
30980,Russell Westbrook,LAC,2023,34,15,52,3,1491,304,729,63,213,241,516,156,238,59,262,321,391,53,23,184,121,827,0,33,31,0,1,0,0.21
31004,Spencer Dinwiddie,BRK,2023,29,9,53,53,1808,316,694,138,341,178,353,170,207,19,144,163,279,39,16,90,124,940,0,34,27,0,1,0,0.21
30855,Malcolm Brogdon,BOS,2023,30,7,53,0,1349,276,563,109,235,167,328,125,141,34,188,222,196,33,16,83,87,786,0,44,18,0,1,0,0.19
31055,Tyler Herro,MIA,2023,23,4,48,48,1699,355,822,146,394,209,428,126,137,23,250,273,207,41,15,115,82,982,0,33,29,0,1,0,0.19
30752,Jordan Clarkson,UTA,2023,30,9,60,60,1954,452,1016,155,454,297,562,194,237,70,172,242,258,31,13,183,118,1253,0,31,32,0,1,0,0.16
30552,D'Angelo Russell,LAL,2023,26,8,58,58,1877,357,770,154,396,203,374,153,180,30,149,179,354,61,21,153,122,1021,0,29,33,0,1,0,0.14
30827,Klay Thompson,GSW,2023,32,10,50,50,1638,395,925,219,536,176,389,95,106,33,167,200,123,33,16,89,99,1104,0,32,30,0,1,0,0.13
30553,D'Angelo Russell,LAL,2023,26,8,54,54,1778,338,727,148,379,190,348,143,167,28,137,165,334,60,21,147,117,967,0,29,33,0,1,0,0.12
31058,Tyrese Maxey,PHI,2023,22,3,41,22,1334,288,637,93,242,195,395,129,159,17,96,113,145,33,5,58,91,798,0,39,21,0,1,0,0.12
30759,Jordan Poole,GSW,2023,23,4,62,39,1906,436,1009,163,495,273,514,255,296,25,150,175,285,51,15,203,169,1290,0,32,30,0,1,0,0.11
30599,Derrick White,BOS,2023,28,6,62,52,1718,255,560,111,289,144,271,121,140,35,171,206,237,44,56,67,134,742,0,44,18,0,1,0,0.11
30481,Anfernee Simons,POR,2023,23,5,56,56,1990,427,949,196,515,231,434,146,160,15,135,150,235,40,13,121,133,1196,0,29,32,0,1,0,0.1
30966,RJ Barrett,NYK,2023,22,4,56,56,1911,386,900,100,303,286,597,222,295,49,241,290,158,26,9,129,144,1094,0,36,27,0,1,0,0.1
30763,Josh Giddey,OKC,2023,20,2,56,56,1716,389,806,50,162,339,644,70,93,111,320,431,324,42,26,166,117,898,0,28,33,0,1,0,0.09
30863,Marcus Smart,BOS,2023,28,9,45,45,1455,184,432,79,240,105,192,63,82,33,125,158,308,63,19,107,119,510,0,44,18,0,1,0,0.08
31027,Terry Rozier,CHO,2023,28,8,52,52,1851,410,990,139,423,271,567,153,185,47,169,216,250,58,13,107,98,1112,0,20,43,0,1,0,0.06
30838,LaMelo Ball,CHO,2023,21,3,36,36,1268,296,721,144,383,152,338,102,122,42,189,231,304,46,11,129,118,838,0,20,43,0,1,0,0.05
30648,Gary Trent Jr.,TOR,2023,24,5,54,43,1810,348,801,145,394,203,407,154,183,23,117,140,88,89,14,52,90,995,0,31,32,0,1,0,0.04
30509,Bruce Brown,DEN,2023,26,5,62,28,1773,272,559,82,214,190,345,65,90,42,199,241,218,65,38,98,144,691,0,44,19,0,1,0,0.03
30928,Norman Powell,LAC,2023,29,8,53,7,1371,298,621,109,259,189,362,192,239,20,136,156,94,42,17,88,106,897,0,33,31,0,1,0,0.03
31060,Tyus Jones,MEM,2023,26,8,60,9,1368,220,508,87,231,133,277,58,72,22,110,132,273,61,4,54,25,585,0,37,23,0,1,0,0.03
30813,Kevin Huerter,SAC,2023,24,5,58,58,1749,314,656,150,388,164,268,74,105,34,162,196,172,64,18,85,144,852,0,36,25,0,1,0,0.03
30805,Kentavious Caldwell-Pope,DEN,2023,29,10,60,60,1886,245,509,116,257,129,252,82,98,29,144,173,143,86,27,73,122,688,0,44,19,0,1,0,0.03
30860,Malik Monk,SAC,2023,24,6,58,0,1316,282,619,102,297,180,322,139,154,29,122,151,221,36,13,117,95,805,0,36,25,0,1,0,0.03
30963,Reggie Jackson,DEN,2023,32,12,4,0,81,11,34,6,19,5,15,3,4,1,5,6,17,4,1,3,7,31,0,44,19,0,1,0,0.02
30894,Mike Conley,MIN,2023,35,16,49,48,1461,171,424,88,243,83,181,82,101,21,102,123,365,53,11,82,103,512,0,32,32,0,1,0,0.02
30696,Jalen Green,HOU,2023,20,2,55,55,1852,400,975,140,419,260,556,253,321,30,188,218,200,42,13,154,90,1193,0,13,48,0,1,0,0.02
30661,Grayson Allen,MIL,2023,27,5,57,55,1573,194,440,113,281,81,159,96,107,49,141,190,136,47,10,63,93,597,0,44,17,0,1,0,0.02
30895,Mike Conley,MIN,2023,35,16,43,42,1276,153,375,77,213,76,162,78,96,17,90,107,330,44,10,74,94,461,0,32,32,0,1,0,0.02
30667,Immanuel Quickley,NYK,2023,23,3,62,10,1723,280,633,110,307,170,326,129,157,42,209,251,192,52,10,68,127,799,0,36,27,0,1,0,0.02
