seas_id,player,tm,season,age,experience,g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs,w,l,forward,guard,center,All-NBA Probability
30924,Nikola Jokić,DEN,2023,27,8,55,55,1846,516,815,45,113,471,702,277,337,128,515,643,551,70,36,196,142,1354,0,44,19,0,0,1,97.79
30742,Joel Embiid,PHI,2023,28,7,48,48,1683,525,987,50,148,475,839,484,563,86,414,500,196,53,78,170,153,1584,0,39,21,0,0,1,94.42
30847,Luka Dončić,DAL,2023,23,5,53,53,1930,594,1175,145,415,449,760,426,583,46,419,465,428,79,27,192,140,1759,0,32,31,0,1,0,92.6
30653,Giannis Antetokounmpo,MIL,2023,28,10,49,49,1589,549,1019,39,143,510,876,396,616,112,479,591,262,37,37,192,163,1533,0,44,17,1,0,0,90.62
30728,Jayson Tatum,BOS,2023,24,6,58,58,2166,569,1238,190,541,379,697,420,486,65,440,505,272,60,45,172,123,1748,0,44,18,1,0,0,87.06
31000,Shai Gilgeous-Alexander,OKC,2023,24,5,54,54,1918,553,1091,47,139,506,952,521,574,48,208,256,307,89,58,155,145,1674,0,28,33,0,1,0,47.56
30680,Ja Morant,MEM,2023,23,4,51,51,1662,493,1062,82,264,411,798,321,432,57,249,306,417,55,13,177,86,1389,0,37,23,0,1,0,41.2
30561,Damian Lillard,POR,2023,32,11,48,48,1739,466,990,206,542,260,448,403,438,33,174,207,347,41,14,151,93,1541,0,29,32,0,1,0,33.03
30609,Domantas Sabonis,SAC,2023,26,7,59,59,2035,417,679,24,69,393,610,250,326,175,555,730,410,50,27,176,217,1108,0,36,25,0,0,1,32.09
30781,Julius Randle,NYK,2023,28,9,63,63,2256,537,1159,176,510,361,649,332,438,132,530,662,259,42,18,174,188,1582,0,36,27,1,0,0,22.75
30843,LeBron James,LAL,2023,38,20,47,47,1695,532,1061,100,325,432,736,224,295,57,339,396,326,44,26,147,79,1388,0,29,33,1,0,0,21.72
31042,Trae Young,ATL,2023,24,5,55,55,1942,469,1093,119,364,350,729,432,486,40,121,161,557,57,9,225,85,1489,0,31,31,0,1,0,21.46
